,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
117,North,45 – 54,Male,3.0,4.0,1.0,None,,,Car,Cycle,Walk,1.0
118,North,16 – 24,Female,4.0,5.0,4.0,Car,Walk,Tram,Car,Walk,Bus,2.0
120,Central,25 – 34,Male,5.0,5.0,5.0,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,None,0.0
121,South,35 – 44,Female,3.0,3.0,3.0,Car,Walk,Taxi/Private hire car,Car,Taxi/Private hire car,Bus,2.0
122,North,35 – 44,Female,3.0,5.0,3.0,None,,,Walk,Bus,None,1.0
123,East,25 – 34,Female,5.0,5.0,5.0,Car,Tram,Cycle,Car,Taxi/Private hire car,Walk,2.0
124,West,45 – 54,Female,5.0,5.0,5.0,Car,Walk,Cycle,Car,Walk,Cycle,1.0
125,South,35 – 44,Male,3.0,3.0,3.0,Walk,Cycle,Car,Car,Walk,Tram,2.0
126,Central,25 – 34,Female,4.0,4.0,4.0,Walk,Bus,Tram,Walk,Bus,Tram,0.0
127,South,45 – 54,Female,5.0,5.0,5.0,Cycle,Walk,Car,Car,Cycle,Walk,1.0
129,South,16 – 24,Female,4.0,4.0,4.0,Bus,Walk,None,Bus,Walk,None,0.0
130,West,25 – 34,Female,4.0,5.0,4.0,Taxi/Private hire car,Walk,Bus,Motorcycle,Bus,Cycle,2.0
131,Central,16 – 24,Female,4.0,5.0,1.0,Walk,Car,Taxi/Private hire car,Bus,Tram,Taxi/Private hire car,1.0
132,South,35 – 44,Female,5.0,5.0,5.0,Walk,Cycle,Car,Walk,Cycle,Bus,1.0
133,North,25 – 34,Male,1.0,4.0,1.0,Car,Walk,Bus,Bus,Tram,Other,1.0
134,North,25 – 34,Male,4.0,4.0,4.0,Car,Bus,Cycle,Car,Bus,Walk,1.0
135,East,45 – 54,Female,3.0,3.0,2.0,Car,Walk,None,Bus,Taxi/Private hire car,Walk,2.0
136,West,25 – 34,Female,3.0,4.0,3.0,Bus,Walk,Tram,Bus,Walk,Tram,0.0
137,South,35 – 44,Male,3.0,3.0,3.0,Walk,Cycle,Car,Walk,Cycle,Car,1.0
138,Central,16 – 24,Male,1.0,4.0,3.0,Walk,Car,Taxi/Private hire car,Car,Walk,Bus,2.0
139,North,45 – 54,Male,4.0,4.0,4.0,Walk,Bus,Cycle,Walk,Bus,Cycle,0.0
140,East,35 – 44,Female,4.0,3.0,4.0,Walk,Car,Bus,Car,Bus,Walk,1.0
141,East,25 – 34,Female,5.0,5.0,5.0,Cycle,Walk,None,Cycle,Bus,Walk,0.0
143,East,25 – 34,Female,4.0,4.0,5.0,Cycle,Walk,Bus,Cycle,Bus,Walk,1.0
144,Central,16 – 24,Female,5.0,5.0,4.0,Walk,Cycle,Car,Car,Walk,None,2.0
145,East,35 – 44,Female,5.0,5.0,5.0,Cycle,Walk,Bus,Bus,Walk,Cycle,0.0
146,West,45 – 54,Male,2.0,2.0,2.0,Car,Walk,Tram,Walk,Bus,Tram,2.0
147,South,25 – 34,Male,5.0,5.0,5.0,Walk,Bus,Car,Walk,Bus,Car,1.0
148,West,25 – 34,Female,4.0,3.0,2.0,Car,Bus,Walk,Bus,Walk,Car,1.0
149,East,55 – 64,Female,4.0,4.0,3.0,Walk,Car,Bus,Walk,Car,Bus,1.0
150,South,75 and over,Male,4.0,4.0,3.0,Car,Walk,Bus,Car,Bus,Walk,1.0
151,West,25 – 34,Female,1.0,1.0,1.0,Car,None,,Car,Bus,Tram,2.0
152,West,35 – 44,Male,5.0,4.0,4.0,Walk,Car,Bus,Walk,Car,Bus,2.0
153,North,35 – 44,Female,4.0,5.0,5.0,Car,Bus,Walk,Walk,Car,Cycle,1.0
